time,bit_cnt_r [3:0],clk,cs_n_r,gpio_dir_r [15:0],gpio_in [15:0],gpio_in_i [15:0],gpio_out_o [15:0],gpio_out_r [15:0],gpio_sync1_r [15:0],gpio_sync2_r [15:0],haddr [31:0],haddr_i [31:0],haddr_r [31:0],half_done_w,hrdata_o [31:0],hrdata_w [31:0],hready_o,hresp_o,hsize [2:0],hsize_i [2:0],htrans [1:0],htrans_i [1:0],hwdata [31:0],hwdata_i [31:0],hwrite,hwrite_i,hwrite_r,irq [7:0],irq_enable_r [7:0],irq_i [7:0],irq_pending_r [7:0],irq_status_w [7:0],irq_sync1_r [7:0],irq_sync2_r [7:0],k,paddr_i [7:0],prdata_reg_i [31:0],pvalid_o,pwdata_i [31:0],pwr_mode [1:0],pwr_mode_i [1:0],pwr_mode_r [1:0],pwrite_i,ri,rst_n,rx_baud_done,rx_baud_r [9:0],rx_bit_r [2:0],rx_err_r,rx_half_done,rx_last_bit,rx_state_nxt [1:0],rx_state_r [1:0],rx_sync1_r,rx_sync2_r,rx_valid_r,sclk_r,sel_gpio_o,sel_irq_o,sel_pwr_o,sel_reg_o,sel_spi_o,sel_uart_o,shift_done_w,slp_time_r [31:0],spi_cs_n_o,spi_div_cnt_r [7:0],spi_div_r [7:0],spi_miso,spi_miso_i,spi_mosi_o,spi_sclk_o,spi_start_w,spi_state_nxt [1:0],spi_state_r [1:0],sram_addr [17:0],sram_addr_i [17:0],sram_ben [3:0],sram_ben_i [3:0],sram_rdata [31:0],sram_rdata_o [31:0],sram_ren,sram_ren_i,sram_wdata [31:0],sram_wdata_i [31:0],sram_wen,sram_wen_i,sw_ctrl_r [1:0],transfer_r,tx_baud_done,tx_baud_r [9:0],tx_bit_r [3:0],tx_busy_r,tx_frame_r [9:0],tx_last_bit,tx_out_r,tx_shift_r [7:0],tx_start_w,tx_state_nxt,tx_state_r,u_soc.u_gpio_ctrl.prdata_o [31:0],u_soc.u_gpio_ctrl.prdata_w [31:0],u_soc.u_gpio_ctrl.pvalid_i,u_soc.u_irq_ctrl.prdata_o [31:0],u_soc.u_irq_ctrl.prdata_w [31:0],u_soc.u_irq_ctrl.pvalid_i,u_soc.u_pwr_ctrl.clk,u_soc.u_pwr_ctrl.prdata_o [31:0],u_soc.u_pwr_ctrl.prdata_w [31:0],u_soc.u_pwr_ctrl.pvalid_i,u_soc.u_pwr_ctrl.rst_n,u_soc.u_spi_master.prdata_o [31:0],u_soc.u_spi_master.prdata_w [31:0],u_soc.u_spi_master.pvalid_i,u_soc.u_spi_master.rx_data_r [7:0],u_soc.u_spi_master.rx_shift_r [7:0],u_soc.u_uart_ctrl.prdata_o [31:0],u_soc.u_uart_ctrl.prdata_w [31:0],u_soc.u_uart_ctrl.pvalid_i,u_soc.u_uart_ctrl.rx_data_r [7:0],u_soc.u_uart_ctrl.rx_shift_r [7:0],uart_rx,uart_rx_i,uart_tx_o
455000,0,1,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1110,1110,1111,1111,0,0,0,0,10001000100010010001000101100,10001000100010010001000101100,1,1,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
456000,0,1,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,1,1,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
460000,0,0,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,1,1,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
465000,0,1,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,1,1,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
466000,0,1,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
470000,0,0,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
475000,0,1,1,0,0,0,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
476000,0,1,1,0,100000001,100000001,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
480000,0,0,1,0,100000001,100000001,0,0,0,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
485000,0,1,1,0,100000001,100000001,0,0,100000001,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
486000,0,1,1,0,1000000010,1000000010,0,0,100000001,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
490000,0,0,1,0,1000000010,1000000010,0,0,100000001,0,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
495000,0,1,1,0,1000000010,1000000010,0,0,1000000010,100000001,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
496000,0,1,1,0,1100000011,1100000011,0,0,1000000010,100000001,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
500000,0,0,1,0,1100000011,1100000011,0,0,1000000010,100000001,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
505000,0,1,1,0,1100000011,1100000011,0,0,1100000011,1000000010,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
506000,0,1,1,0,10000000100,10000000100,0,0,1100000011,1000000010,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
510000,0,0,1,0,10000000100,10000000100,0,0,1100000011,1000000010,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
515000,0,1,1,0,10000000100,10000000100,0,0,10000000100,1100000011,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
516000,0,1,1,0,10100000101,10100000101,0,0,10000000100,1100000011,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
520000,0,0,1,0,10100000101,10100000101,0,0,10000000100,1100000011,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
525000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10000000100,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
526000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10000000100,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,1,11111111,1,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
530000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10000000100,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,1,11111111,1,0,0,0,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
535000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,1,11111111,1,0,0,1,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
536000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,1,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
540000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,1,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
545000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,0,0,0,1,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
546000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,1000010,11111111,1000010,0,0,0,1,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
550000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,1000010,11111111,1000010,0,0,0,1,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
555000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,1000010,11111111,1000010,1,1,1000010,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
556000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,1,1,1000010,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
560000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,1,1,1000010,0,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
565000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,10000,10000,10000,0,1,1,1,0,10,10,0,0,1,1,0,0,0,0,11111111,0,1,1,0,1000010,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
566000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,10000,0,1,1,1,0,0,0,10,10,1,1,1,1,0,0,11111111,0,1,1,0,1000010,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
570000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,10000,0,1,1,1,0,0,0,10,10,1,1,1,1,0,0,11111111,0,1,1,0,1000010,x,10000,1,0,1,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
575000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,111100000000,0,0,0,1,0,0,0,10,10,1,1,1,1,1,0,11111111,0,1000011,1000011,0,0,x,0,11011110101011011011111011101111,1,1,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,1,1,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
576000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,111100000000,0,0,0,1,0,0,0,0,0,10100101,10100101,0,0,1,0,11111111,0,1000011,1000011,0,0,x,0,11011110101011011011111011101111,1,10100101,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,1,1,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
580000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,111100000000,0,0,0,1,0,0,0,0,0,10100101,10100101,0,0,1,0,11111111,0,1000011,1000011,0,0,x,0,11011110101011011011111011101111,1,10100101,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,1,1,0,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
585000,0,1,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,111100000000,0,0,0,1,0,0,0,0,0,10100101,10100101,0,0,0,0,11111111,0,1000011,1000011,0,0,x,0,11011110101011011011111011101111,0,10100101,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,1,1,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,10100101,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
590000,0,0,1,0,10100000101,10100000101,0,0,10100000101,10100000101,111100000000,111100000000,111100000000,0,0,0,1,0,0,0,0,0,10100101,10100101,0,0,0,0,11111111,0,1000011,1000011,0,0,x,0,11011110101011011011111011101111,0,10100101,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,1,1,1111,1111,1111,1111,0,0,0,0,10001000100010010001000101101,10001000100010010001000101101,0,0,0,0,0,0,0,0,1111111111,0,1,10100101,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
